RulesetName,MaterialPos,InfluencePos,SidesProximityPos,LineCompletionHeuristicNeg,NullHeuristicPos,LineCompletionHeuristicPos,CornerProximityNeg,MobilitySimpleNeg,CentreProximityNeg,InfluenceNeg,MaterialNeg,CornerProximityPos,MobilitySimplePos,CentreProximityPos,SidesProximityNeg,RegionProximityNeg,RegionProximityPos,ScorePos,ScoreNeg,PlayerRegionsProximityNeg,PlayerRegionsProximityPos,PlayerSiteMapCountPos,PlayerSiteMapCountNeg,OwnRegionsCountPos,OwnRegionsCountNeg,ComponentValuesPos,ComponentValuesNeg
Pareia_de_Entrada_Pareia_de_Entrada,23.0434782608696,45.7142857142857,40,35.7142857142857,42.1052631578947,33.3333333333333,32.3529411764706,41.1764705882353,35.2380952380952,43,65.9090909090909,99.4736842105263,77.1428571428571,96.6666666666667,45.7894736842105,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947,42.1052631578947
Cab_e_Quinal_Cab_e_Quinal,34.5,7.61904761904762,42.5,50,45.7894736842105,28.9473684210526,29.4117647058823,70.4545454545455,42.5,70.4761904761905,74.2857142857143,93.8888888888889,18,93.5,46.3636363636364,45.7894736842105,45.7894736842105,45.7894736842105,45.7894736842105,45.7894736842105,45.7894736842105,45.7894736842105,45.7894736842105,45.7894736842105,45.7894736842105,45.7894736842105,45.7894736842105
Cab_e_Quinal_Fixed_Die,42.8571428571429,95.2941176470588,47.6190476190476,51,53.5,52.2222222222222,49.4736842105263,9,44.5,18.2608695652174,49.5,45,97.8260869565217,50,49.4444444444444,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5
Laquet_Laquet,41.5,56.3157894736842,50.5,47.6190476190476,55,57.2727272727273,49.4736842105263,48.5714285714286,40,47.5,53.5294117647059,43.3333333333333,58.5,50.5,52.7272727272727,55,55,55,55,55,55,55,55,55,55,55,55
Alquerque_de_Tres_Alquerque_de_Tres,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Tablas_Astronomias_Tablas_Astronomias,68.2922272047832,41.3882837085452,48.2261008441707,56.0018792576932,47.1551261406334,41.9145230439442,39.3355359765052,54.2972459639126,48.0657989877079,54.9883040935673,39.0878378378378,69.7698240539888,44.98186998187,48.3712121212121,47.744814278823,47.1551261406334,47.1551261406334,47.1551261406334,47.1551261406334,47.1551261406334,47.1551261406334,47.1551261406334,47.1551261406334,47.1551261406334,47.1551261406334,47.1551261406334,47.1551261406334
Nerenchi_Keliya_Nerenchi_Keliya,64.25,90.2272727272727,65,12.1052631578947,25.9090909090909,67.5,40.8695652173913,30.5555555555556,25.8823529411765,47.7777777777778,0.277777777777778,62.8947368421053,92.75,67.6315789473684,42.1428571428571,25.9090909090909,25.9090909090909,25.9090909090909,25.9090909090909,25.9090909090909,25.9090909090909,25.9090909090909,25.9090909090909,25.9090909090909,25.9090909090909,25.9090909090909,25.9090909090909
Niranchy_Niranchy,49.1304347826087,52.1052631578947,42.6315789473684,19.5652173913043,50.5263157894737,68.2608695652174,64.5,48.3333333333333,68.9473684210526,51.0526315789474,53.6842105263158,45.2380952380952,57.7777777777778,38.9473684210526,42.8571428571429,50.5263157894737,50.5263157894737,50.5263157894737,50.5263157894737,50.5263157894737,50.5263157894737,50.5263157894737,50.5263157894737,50.5263157894737,50.5263157894737,50.5263157894737,50.5263157894737
Koti_Keliya_Koti_Keliya,60,60,52.8571428571429,60,61.4285714285714,57.2222222222222,25.7142857142857,20.5555555555556,47.6190476190476,13.3333333333333,56,48.9473684210526,64.0909090909091,61.7647058823529,67.5,61.4285714285714,61.4285714285714,61.4285714285714,61.4285714285714,61.4285714285714,61.4285714285714,61.4285714285714,61.4285714285714,61.4285714285714,61.4285714285714,61.4285714285714,61.4285714285714
Shatren_Shatren,85.75,71.5,76.5909090909091,29.1176470588235,43.3333333333333,48.25,26.6666666666667,30.8823529411765,33.9473684210526,37.0454545454545,10.9090909090909,78.0434782608696,79,73.0952380952381,40,34.047619047619,68.75,43.3333333333333,43.3333333333333,47.6086956521739,43.0952380952381,43.3333333333333,43.3333333333333,43.5714285714286,45.2777777777778,43.3333333333333,43.3333333333333
